epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,127.565,0.39006,0.31147,1.11247,0.988,1,0.99107,0.98248,0.28251,0.25392,1.09898,0.0007724,0.0007724,0.0007724
64,129.545,0.35829,0.30193,1.12807,0.98801,1,0.99107,0.98252,0.27881,0.25472,1.1116,0.0007526,0.0007526,0.0007526
65,131.525,0.36429,0.30308,1.13261,0.98803,1,0.99084,0.97824,0.27656,0.25215,1.12227,0.0007328,0.0007328,0.0007328
66,133.501,0.35175,0.30062,1.12187,0.98798,1,0.99096,0.97728,0.26651,0.24457,1.11175,0.000713,0.000713,0.000713
67,135.467,0.35216,0.30365,1.11571,0.9879,1,0.9914,0.97807,0.27542,0.2444,1.09247,0.0006932,0.0006932,0.0006932
68,137.443,0.37584,0.30042,1.10156,0.9879,1,0.99163,0.9774,0.27993,0.24856,1.07641,0.0006734,0.0006734,0.0006734
69,139.527,0.37221,0.29966,1.12978,0.98789,1,0.99152,0.98108,0.2628,0.23843,1.0733,0.0006536,0.0006536,0.0006536
70,141.553,0.36888,0.29801,1.16091,0.98786,1,0.99152,0.98252,0.24914,0.23312,1.07476,0.0006338,0.0006338,0.0006338
71,143.565,0.3801,0.29788,1.16977,0.98793,1,0.99118,0.98215,0.25443,0.23532,1.07012,0.000614,0.000614,0.000614
72,145.536,0.35231,0.29015,1.11856,0.9878,1,0.9914,0.98168,0.26948,0.23944,1.07076,0.0005942,0.0005942,0.0005942
73,147.503,0.3737,0.29778,1.12918,0.98774,1,0.99152,0.98131,0.27435,0.24117,1.08142,0.0005744,0.0005744,0.0005744
74,149.498,0.38232,0.3047,1.12157,0.98782,1,0.99107,0.98218,0.26544,0.23926,1.09255,0.0005546,0.0005546,0.0005546
75,151.574,0.34391,0.28477,1.13564,0.98787,1,0.99073,0.98018,0.25804,0.23953,1.10714,0.0005348,0.0005348,0.0005348
76,153.538,0.33746,0.27921,1.12457,0.98791,1,0.99084,0.98184,0.25442,0.2368,1.11096,0.000515,0.000515,0.000515
77,155.514,0.35648,0.28769,1.14235,0.98793,1,0.99152,0.98007,0.25645,0.23918,1.10384,0.0004952,0.0004952,0.0004952
78,157.481,0.36144,0.28926,1.0984,0.98795,1,0.99174,0.98125,0.26566,0.24288,1.08833,0.0004754,0.0004754,0.0004754
79,159.422,0.35325,0.28404,1.10488,0.98799,1,0.99197,0.98428,0.26524,0.23818,1.07894,0.0004556,0.0004556,0.0004556
80,161.386,0.34398,0.27664,1.10165,0.98797,1,0.99219,0.98347,0.26234,0.23616,1.07544,0.0004358,0.0004358,0.0004358
81,163.36,0.3753,0.298,1.12867,0.988,1,0.99275,0.98409,0.25449,0.23532,1.07448,0.000416,0.000416,0.000416
82,165.353,0.37541,0.30346,1.15192,0.98814,1,0.99298,0.9844,0.25055,0.23499,1.07667,0.0003962,0.0003962,0.0003962
83,167.31,0.36826,0.29602,1.1567,0.98813,1,0.99287,0.98817,0.24939,0.23221,1.07708,0.0003764,0.0003764,0.0003764
84,169.3,0.36227,0.29596,1.1408,0.98805,1,0.99309,0.98763,0.24591,0.22696,1.08329,0.0003566,0.0003566,0.0003566
85,171.283,0.36561,0.29904,1.18477,0.98808,1,0.99264,0.98621,0.25269,0.22981,1.09732,0.0003368,0.0003368,0.0003368
86,173.362,0.34378,0.2898,1.13513,0.98803,1,0.99253,0.98536,0.25197,0.22913,1.10607,0.000317,0.000317,0.000317
87,175.362,0.357,0.29085,1.13147,0.98805,1,0.99197,0.98679,0.25052,0.22877,1.09739,0.0002972,0.0002972,0.0002972
88,177.388,0.32865,0.2739,1.09504,0.988,1,0.99185,0.9872,0.24832,0.22558,1.08458,0.0002774,0.0002774,0.0002774
89,179.356,0.34737,0.28823,1.11027,0.98798,1,0.99185,0.9867,0.24864,0.2249,1.08254,0.0002576,0.0002576,0.0002576
90,181.341,0.35443,0.298,1.14451,0.98799,1,0.99163,0.98737,0.2483,0.22598,1.08216,0.0002378,0.0002378,0.0002378
91,183.625,0.24771,0.21952,1.06833,0.98801,1,0.99242,0.98815,0.24995,0.228,1.07745,0.000218,0.000218,0.000218
92,185.44,0.24104,0.22359,1.03121,0.98803,1,0.99275,0.98515,0.256,0.23134,1.07256,0.0001982,0.0001982,0.0001982
93,187.335,0.24918,0.22858,1.00799,0.98803,1,0.99275,0.98491,0.26214,0.23269,1.07294,0.0001784,0.0001784,0.0001784
94,189.116,0.24502,0.22497,1.02899,0.98808,1,0.99242,0.98221,0.2657,0.23559,1.07971,0.0001586,0.0001586,0.0001586
95,190.9,0.247,0.21716,1.01275,0.9881,1,0.99253,0.98363,0.26539,0.23427,1.08816,0.0001388,0.0001388,0.0001388
96,192.716,0.24624,0.21979,1.05819,0.98809,1,0.99253,0.98444,0.25804,0.23067,1.10246,0.000119,0.000119,0.000119
97,194.502,0.2372,0.21594,1.04379,0.98808,1,0.99253,0.98309,0.25106,0.22782,1.11,9.92e-05,9.92e-05,9.92e-05
98,196.469,0.23047,0.20792,1.02069,0.98809,1,0.99275,0.98442,0.24595,0.22718,1.11019,7.94e-05,7.94e-05,7.94e-05
99,198.268,0.22773,0.20926,1.00306,0.98812,1,0.99275,0.98452,0.24306,0.22748,1.1078,5.96e-05,5.96e-05,5.96e-05
100,200.066,0.22939,0.20688,1.05392,0.98814,1,0.99275,0.98628,0.24215,0.22816,1.10338,3.98e-05,3.98e-05,3.98e-05
